player_name,team_name,match_no,tackles,recoveries,gk_saves
Ange-Yoan Bonny,Ivory Coast,34,1,2,0
Ange-Yoan Bonny,Ivory Coast,55,1,0,0
Ange-Yoan Bonny,Ivory Coast,77,1,1,0
Angelo Preciado,Ecuador,11,0,2,0
Angelo Preciado,Ecuador,35,0,0,0
Angelo Preciado,Ecuador,56,0,1,0
Angelo Preciado,Ecuador,79,0,3,0
Angelo Stiller,Germany,56,1,3,0
Angus Gunn,Scotland,7,0,8,2
Angus Gunn,Scotland,30,1,8,1
Angus Gunn,Scotland,52,0,10,5
Aníbal Godoy,Panama,23,0,1,0
Anis Ben Slimane,Tunisia,12,0,1,0
Anis Ben Slimane,Tunisia,36,2,2,0
Anis Ben Slimane,Tunisia,58,0,1,0
Anis Hadj Moussa,Algeria,19,1,2,0
Anis Hadj Moussa,Algeria,44,0,2,0
Anis Hadj Moussa,Algeria,85,0,1,0
Ante Budimir,Croatia,47,1,3,0
Ante Budimir,Croatia,67,0,1,0
Ante Budimir,Croatia,84,0,0,0
Anthony Elanga,Sweden,12,0,0,0
Anthony Elanga,Sweden,33,0,1,0
Anthony Elanga,Sweden,57,0,3,0
Anthony Elanga,Sweden,78,0,3,0
Anthony Gordon,England,22,0,0,0
Anthony Gordon,England,46,1,2,0
Anthony Gordon,England,80,0,1,0
Anthony Gordon,England,92,3,4,0
Anthony Gordon,England,99,1,0,0
Anthony Gordon,England,102,0,1,0
Antoine Semenyo,Ghana,23,1,2,0
Antoine Semenyo,Ghana,46,0,1,0
Antoine Semenyo,Ghana,67,0,2,0
Antoine Semenyo,Ghana,88,1,2,0
Antonee Robinson,USA,4,0,6,0
Antonee Robinson,USA,29,3,5,0
Antonee Robinson,USA,82,1,6,0
Antonee Robinson,USA,94,7,5,0
Antonio Nusa,Norway,18,1,1,0
Antonio Nusa,Norway,43,0,2,0
Antonio Nusa,Norway,61,0,0,0
Antonio Nusa,Norway,77,2,3,0
Antonio Nusa,Norway,91,0,4,0
Antonio Nusa,Norway,99,1,2,0
Antonio Rudiger,Germany,9,0,1,0
Antonio Rudiger,Germany,34,1,1,0
Antonio Rudiger,Germany,56,1,2,0
Antonio Rudiger,Germany,75,0,9,0
Antonio Sanabria,Paraguay,4,0,0,0
Antonio Sanabria,Paraguay,75,2,2,0
Ao Tanaka,Japan,36,4,3,0
Ao Tanaka,Japan,57,3,8,0
Ao Tanaka,Japan,74,2,2,0
Arda Guler,Turkiye,8,1,3,0
