player_name,team_name,match_no,goals,assists,xg,BCM,dribbles,Chances_Created
Bradley Barcola,France,61,0,1,0.0,0,0,2
Brahim Diaz,Morocco,6,0,1,0.1,0,1,2
Brahim Diaz,Morocco,30,0,1,0.04,0,3,3
Brahim Diaz,Morocco,51,0,0,0.23,1,1,1
Brandley Kuwas,Curaçao,55,0,0,0.0,0,0,0
Brandon Mechele,Belgium,14,0,0,0.33,1,0,0
Brandon Mechele,Belgium,38,0,0,0.07,0,0,0
Brandon Mechele,Belgium,66,0,0,0.07,0,1,0
Brandon Thomas-Asante,Ghana,23,0,0,0.06,0,1,0
Brandon Thomas-Asante,Ghana,67,0,0,0.0,0,0,0
Breel Embolo,Switzerland,5,1,0,1.14,1,1,5
Breel Embolo,Switzerland,26,0,1,0.15,0,0,2
Breel Embolo,Switzerland,50,0,1,0.67,1,2,1
Brenden Aaronson,USA,60,0,0,0.54,1,0,2
Brian Brobbey,Netherlands,10,0,0,0.0,0,0,0
Brian Brobbey,Netherlands,33,2,0,1.29,0,0,2
Brian Brobbey,Netherlands,58,1,0,0.54,0,0,3
Brian Cipenga,DR Congo,70,0,0,0.08,0,6,0
Brian Gutierrez,Mexico,1,0,0,0.18,0,0,3
Brian Gutierrez,Mexico,28,0,0,0.02,0,0,1
Brian Rodríguez,Uruguay,15,0,0,0.04,0,0,1
Brian Rodríguez,Uruguay,39,0,0,0.07,0,1,1
Brian Rodríguez,Uruguay,64,0,0,0.0,0,1,0
Bruno Fernandes,Portugal,21,0,0,0.07,0,0,1
Bruno Fernandes,Portugal,45,0,1,0.12,0,1,2
Bruno Fernandes,Portugal,69,0,0,0.3,1,0,1
Bruno Guimaraes,Brazil,6,0,1,0.01,0,1,1
Bruno Guimaraes,Brazil,31,0,0,0.0,0,0,1
Bruno Guimaraes,Brazil,52,0,2,0.03,0,1,3
Bukayo Saka,England,22,0,1,0.0,0,1,1
Bukayo Saka,England,46,0,0,0.15,0,1,0
Bukayo Saka,England,68,0,1,0.12,0,1,1
Caglar Soyuncu,Türkiye,60,0,0,0.0,0,0,0
Caleb Yirenkyi,Ghana,23,1,0,1.0,0,3,0
Caleb Yirenkyi,Ghana,46,0,0,0.0,0,0,0
Caleb Yirenkyi,Ghana,67,0,0,0.0,0,0,0
Callan Elliot,New Zealand,16,0,0,0.0,0,0,0
Callum McCowatt,New Zealand,16,0,0,0.04,0,2,0
Callum McCowatt,New Zealand,40,0,0,0.3,1,0,0
Callum McCowatt,New Zealand,66,0,0,0.0,0,0,0
Cameron Burgess,Australia,8,0,0,0.0,0,0,0
Cameron Burgess,Australia,29,0,0,0.0,0,0,0
Camilo Vargas,Colombia,24,0,0,0.0,0,0,0
Camilo Vargas,Colombia,48,0,0,0.0,0,0,1
Camilo Vargas,Colombia,69,0,0,0.0,0,0,0
Can Uzun,Türkiye,32,0,0,0.29,1,1,4
Can Uzun,Türkiye,60,0,0,0.21,0,1,0
Carl Starfelt,Sweden,57,0,0,0.0,0,0,0
Carlens Arcus,Haiti,7,0,0,0.0,0,0,1
Carlens Arcus,Haiti,31,0,0,0.0,0,0,0
Carlens Arcus,Haiti,51,0,0,0.0,0,0,0
Carlos Harvey,Panama,23,0,0,0.05,0,0,2
Carlos Harvey,Panama,47,0,0,0.16,0,1,0
Carlos Harvey,Panama,68,0,0,0.1,0,2,1
Carney Chukwuemeka,Austria,20,0,0,0.2,1,0,0
Carney Chukwuemeka,Austria,41,0,0,0.0,0,0,0
Casemiro,Brazil,6,0,0,0.0,0,0,1
Casemiro,Brazil,31,0,0,0.0,0,0,0
Casemiro,Brazil,52,0,0,0.02,0,0,0
