PLAYER,POSITION,TEAM,GOALS,ASSISTS,xG,BCM,DRIBBLES,CHANCES_CREATED,TACKLES,RECOVERIES,SAVES
Can Uzun,Midfielder,Türkiye,0.0,0.0,0.5,1.0,2.0,4.0,0.0,6.0,0.0
Carl Starfelt,Defender,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlens Arcus,Defender,Haiti,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
Carlos Harvey,Midfielder,Panama,0.0,0.0,0.31,0.0,3.0,3.0,7.0,12.0,0.0
Carney Chukwuemeka,Midfielder,Austria,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0
Casemiro,Midfielder,Brazil,0.0,0.0,0.02,0.0,0.0,1.0,11.0,10.0,0.0
Cecilio Waterman,Forward,Panama,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.0
Cédric Bakambu,Forward,DR Congo,0.0,0.0,0.24,0.0,2.0,1.0,0.0,4.0,0.0
Cedric Itten,Forward,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
César Blackman,Defender,Panama,0.0,0.0,0.04,0.0,2.0,0.0,3.0,8.0,0.0
Cesar Huerta,Forward,Mexico,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Cesar Montes,Defender,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Chadi Riad,Defender,Morocco,0.0,1.0,0.03,0.0,2.0,1.0,2.0,5.0,0.0
Chancel Mbemba,Defender,DR Congo,0.0,0.0,0.05,0.0,0.0,1.0,3.0,10.0,0.0
Charles De Ketelaere,Forward,Belgium,0.0,0.0,0.2,0.0,3.0,3.0,4.0,6.0,0.0
Charles Pickel,Midfielder,DR Congo,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Che Adams,Forward,Scotland,0.0,0.0,0.58,1.0,0.0,1.0,1.0,0.0,0.0
Chemsdine Talbi,Forward,Morocco,0.0,0.0,0.05,0.0,0.0,1.0,0.0,2.0,0.0
Chris Richards,Defender,USA,0.0,0.0,0.03,0.0,0.0,0.0,4.0,6.0,0.0
Chris Wood,Forward,New Zealand,0.0,2.0,0.28,0.0,0.0,7.0,1.0,1.0,0.0
Christ Inao Oulai,Midfielder,Ivory Coast,0.0,0.0,0.23,0.0,5.0,1.0,5.0,9.0,0.0
Christian Fassnacht,Forward,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Christian Pulisic,Forward,USA,0.0,1.0,0.58,1.0,4.0,3.0,1.0,0.0,0.0
Christopher Operi,Defender,Ivory Coast,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0
Cody Gakpo,Forward,Netherlands,2.0,1.0,1.48,0.0,3.0,3.0,2.0,4.0,0.0
Connor Metcalfe,Midfielder,Australia,1.0,0.0,0.09,0.0,1.0,2.0,5.0,7.0,0.0
Cristian Martínez,Midfielder,Panama,0.0,0.0,0.09,1.0,1.0,3.0,7.0,9.0,0.0
Cristian Romero,Defender,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
Cristian Volpato,Forward,Australia,0.0,0.0,0.17,0.0,8.0,4.0,0.0,4.0,0.0
Cristiano Ronaldo,Forward,Portugal,2.0,0.0,2.19,3.0,0.0,0.0,1.0,5.0,0.0
Crysencio Summerville,Forward,Netherlands,2.0,1.0,0.11,0.0,3.0,1.0,1.0,5.0,0.0
Cyle Larin,Forward,Canada,2.0,0.0,1.92,2.0,1.0,2.0,0.0,5.0,0.0
Daichi Kamada,Midfielder,Japan,2.0,0.0,0.87,0.0,2.0,4.0,4.0,17.0,0.0
Dailon Rocha Livramento,Forward,Cape Verde,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0
Daizen Maeda,Forward,Japan,1.0,0.0,0.68,0.0,0.0,1.0,4.0,3.0,0.0
Damian Bobadilla,Midfielder,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Dan Ndoye,Forward,Switzerland,0.0,0.0,0.5,2.0,5.0,1.0,1.0,6.0,0.0
Dani Olmo,Midfielder,Spain,0.0,1.0,0.22,0.0,2.0,2.0,1.0,5.0,0.0
Daniel Muñoz,Midfielder,Colombia,2.0,0.0,0.75,1.0,0.0,1.0,5.0,7.0,0.0
Daniel Svensson,Midfielder,Sweden,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Danilo,Defender,Brazil,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0
Danilo Santos,Midfielder,Brazil,0.0,0.0,0.09,0.0,0.0,0.0,1.0,1.0,0.0
Danley Jean Jacques,Midfielder,Haiti,0.0,0.0,0.0,0.0,0.0,1.0,13.0,9.0,0.0
Darwin Núñez,Forward,Uruguay,0.0,0.0,0.22,1.0,1.0,2.0,2.0,4.0,0.0
David Alaba,Defender,Austria,0.0,1.0,0.02,0.0,1.0,1.0,2.0,3.0,0.0
