goal_no,scored_for,scored_by,minute,half,assist_by,goal_type,scored_ag,match_no
135,Portugal,Cristiano Ronaldo,6,1,João Cancelo,Regular,Uzbekistan,45
136,Portugal,Nuno Mendes,17,1,,Free kick,Uzbekistan,45
137,Portugal,Cristiano Ronaldo,39,1,Bruno Fernandes,Regular,Uzbekistan,45
138,Portugal,Abduvokhid Nematov,60,2,,Own goal,Uzbekistan,45
139,Portugal,Rafael Leão,87,2,,Regular,Uzbekistan,45
140,Croatia,Ante Budimir,54,2,Josip Stanisic,Regular,Panama,47
141,Colombia,Daniel Muñoz,76,2,Juan Fernando Quintero,Regular,DR Congo,48
142,Bosnia and Herzegovina,Kerim Alajbegovic,29,1,Ivan Basic,Regular,Qatar,49
143,Bosnia and Herzegovina,Mahmud Abunad,34,1,,Own Goal,Qatar,49
144,Qatar,Hassan Al Haydos,42,1,Edmilson Junior,Regular,Bosnia and Herzegovina,49
145,Switzerland,Ruben Vargas,46,2,Johan Manzambi,Regular,Canada,50
146,Switzerland,Johan Manzambi,57,2,Breel Embolo,Regular,Canada,50
147,Canada,Promise David,76,2,Nathan-Dylan Saliba,Regular,Switzerland,50
148,Bosnia and Herzegovina,Ermin Mahmic,81,2,Dennis Hadzikadunic,Regular,Qatar,49
149,Brazil,Vinicius Junior,7,1,Rayan,Regular,Scotland,52
150,Haiti,Bono,10,1,,Own Goal,Morocco,51
151,Morocco,Achraf Hakimi,39,1,,Regular,Haiti,51
152,Haiti,Wilson Isidor,43,1,Jean-Kevin Duverne,Regular,Morocco,51
153,Morocco,Ismael Saibari,46,1,Achraf Hakimi,Regular,Haiti,51
154,Brazil,Vinicius Junior,48,1,Bruno Guimaraes,Header,Scotland,52
155,Brazil,Matheus Cunha,60,2,Bruno Guimaraes,Regular,Scotland,52
156,Morocco,Soufiane Rahimi,78,2,Chadi Riad,Regular,Haiti,51
157,Morocco,Gessime Yassine,89,2,Soufiane Rahimi,Regular,Haiti,51
158,Mexico,Mateo Chavez,55,2,Luis Romo,Regular,Czechia,53
159,Mexico,Julian Quinones,61,2,Jorge Sanchez,Regular,Czechia,53
160,South Africa,Thapelo Maseko,63,2,Tshepang Moremi,Regular,South Korea,54
161,Mexico,Alvaro Fidalgo,94,2,Roberto Alvarado,Regular,Czechia,53
162,Germany,Leroy Sane,2,1,Florian Wirtz,Regular,Ecuador,56
163,Ivory Coast,Nicolas Pepe,7,1,Yan Diomande,Regular,Curaçao,55
164,Ecuador,Nilson Angulo,9,1,Pedro Vite,Regular,Germany,56
165,Ivory Coast,Nicolas Pepe,64,2,Ibrahim Sangare,Regular,Curaçao,55
166,Ecuador,Gonzalo Plata,78,2,Kevin Rodriguez,Regular,Germany,56
167,Netherlands,Ellyes Skhiri,3,1,,Own goal,Tunisia,58
168,Netherlands,Brian Brobbey,7,1,Virgil van Dijk,Regular,Tunisia,58
169,Tunisia,Hazem Mastouri,54,2,Hannibal Mejbri,Header,Netherlands,58
170,Japan,Daizen Maeda,56,2,Ritsu Doan,Regular,Sweden,57
171,Sweden,Anthony Elanga,62,2,Viktor Gyokeres,Regular,Japan,57
172,Netherlands,Jan Paul van Hecke,62,2,Tijjani Reijnders,Header,Tunisia,58
173,USA,Auston Trusty,3,1,Sebastian Berhalter,Regular,Türkiye,60
174,Türkiye,Arda Guler,10,1,Baris Alper Yilmaz,Regular,USA,60
175,Türkiye,Baris Alper Yilmaz,31,1,Orkun Kokcu,Regular,USA,60
176,USA,Sebastian Berhalter,49,2,,Regular,Türkiye,60
177,Türkiye,Kaan Ayhan,98,2,,Regular,USA,60
178,Senegal,Habib Diarra,4,1,Abdoulaye Seck,Regular,Iraq,62
179,France,Ousmane Dembélé,7,1,Kylian Mbappé,Regular,Norway,61
180,France,Ousmane Dembélé,20,1,Kylian Mbappé,Regular,Norway,61
181,Norway,Thelo Aasgaard,21,1,Andreas Schjelderup,Regular,France,61
182,France,Ousmane Dembélé,32,1,Aurélien Tchouaméni,Regular,Norway,61
183,Senegal,Ismaïla Sarr,56,2,Lamine Camara,Regular,Iraq,62
184,Senegal,Pape Gueye,59,2,Ismaïla Sarr,Regular,Iraq,62
185,Senegal,Pape Gueye,71,2,Iliman Ndiaye,Regular,Iraq,62
186,Senegal,Iliman Ndiaye,82,2,Pape Gueye,Regular,Iraq,62
187,France,Désiré Doué,94,2,Bradley Barcola,Header,Norway,61
188,Spain,Álex Baena,42,1,Marcos Llorente,Regular,Uruguay,62
189,Egypt,Mahmoud Saber,5,1,Mahmoud Trezeguet,Regular,Iran,65
190,Iran,Ramin Rezaeian,14,1,,Regular,Egypt,65
191,Belgium,Leandro Trossard,28,1,,Regular,New Zealand,66
192,Belgium,Leandro Trossard,50,2,Hans Vanaken,Regular,New Zealand,66
193,Belgium,Kevin De Bruyne,66,2,,Regular,New Zealand,66
194,New Zealand,Elijah Just,84,2,,Regular,Belgium,66
195,Belgium,Romelu Lukaku,86,2,Nicolas Raskin,Header,New Zealand,66
196,Belgium,Alexis Saelemaekers,91,2,Romelu Lukaku,Regular,New Zealand,66
197,Croatia,Petar Sucic,31,1,Mateo Kovacic,Regular,Ghana,67
198,England,Jude Bellingham,62,2,Bukayo Saka,Regular,Panama,68
199,England,Harry Kane,67,2,Jude Bellingham,Header,Panama,68
200,Ghana,Derrick Luckassen,73,2,Ernest Nuamah,Regular,Croatia,67
201,Croatia,Nikola Vlasic,83,2,Luka Modric,Header,Ghana,67
202,Uzbekistan,Eldor Shomurodov,10,1,Akmal Mozgovoy,Regular,DR Congo,70
203,DR Congo,Yoane Wissa,68,2,,Penalty,Uzbekistan,70
204,DR Congo,Fiston Mayele,78,2,,Regular,Uzbekistan,70
205,DR Congo,Yoane Wissa,91,2,Meschak Elia,Regular,Uzbekistan,70
206,Argentina,Giovani Lo Celso,19,1,,Free Kick,Jordan,72
207,Austria,Marko Arnautovic,28,1,David Alaba,Regular,Algeria,71
208,Argentina,Lautaro Martínez,31,1,,Penalty,Jordan,72
209,Algeria,Rafik Belghali,45,1,,Regular,Austria,71
210,Austria,Marcel Sabitzer,55,2,Konrad Laimer,Regular,Algeria,71
211,Jordan,Mousa Tamari,55,2,Ehsan Haddad,Regular,Argentina,72
212,Algeria,Riyad Mahrez,60,2,Houssem Aouar,Regular,Austria,71
213,Argentina,Lionel Messi,80,2,,Free Kick,Jordan,72
214,Algeria,Riyad Mahrez,93,2,Houssem Aouar,Regular,Austria,71
215,Austria,Sasa Kalajdzic,96,2,Michael Gregoritsch,Header,Algeria,71
